Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras Velocidades,Total Velocidades,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total Accesos,Banda ancha fija,Dial up,Total dial_BAf,Accesos por cada 100 hogares,Accesos por cada 100 hab
2015,1,La Pampa,6059,8054,45038,26,10,13,10,0,59210,2.83,13143,39571,3215,6164,604,62697,62155,542,62697,55.51,18.33
2015,1,La Rioja,11,4201,9379,2207,533,0,3,0,16334,3.78,16282,0,16,2,33,16333,16310,23,16333,16.7,4.46
2015,1,Mendoza,287,24,169763,38,16,6,11,0,170145,3.5,152433,13030,2542,29,2126,170160,168355,1805,170160,32.37,9.06
2015,1,Misiones,958,11136,51906,12387,8543,194,26,0,85150,4.97,58262,26836,30,5,13,85146,85139,7,85146,26.31,7.19
2015,1,Neuquén,1895,2577,80787,170,4067,2,76,0,89574,3.91,47518,32152,1024,12088,2960,95742,93373,2369,95742,51.95,15.53
2015,1,Río Negro,3371,4913,86173,94,2632,2,42,0,97227,3.59,66274,25217,907,3473,1462,97333,96145,1188,97333,45.33,13.99
2015,1,Salta,1123,14151,64992,13955,2569,15,5,0,96810,4.02,76280,19781,47,129,574,96811,96793,18,96811,30.01,7.29
2015,1,San Juan,8,445,51346,0,0,0,2,0,51801,3.48,48441,451,755,1165,1007,51819,51117,702,51819,27.55,7.04
2015,1,San Luis,10,8,12720,0,1,0,2,0,12741,3.5,11414,1025,351,30,412,13232,12878,354,13232,9.72,2.79
2015,1,Santa Cruz,205,27,26048,2,0,0,0,0,26282,3.47,16215,2700,392,4772,2562,26641,26217,424,26641,27.99,8.39
2015,1,Santa Fe,6883,93096,360964,45270,27597,1542,900,0,536252,4.06,328809,199037,2845,4239,1507,536437,535640,797,536437,50.24,15.83
2015,1,Santiago Del Estero,701,9236,23136,4796,748,0,0,0,38617,3.57,33813,4365,19,1020,35,39252,39244,8,39252,17.06,4.24
2015,1,Tierra Del Fuego,14,609,36319,2,0,0,0,0,36944,3.45,22291,7924,657,1,2583,33456,32726,730,33456,74.23,22.17
2015,1,Tucumán,107,27143,83895,23061,3722,334,0,0,138262,4.07,137857,115,116,88,100,138276,138184,92,138276,35.08,8.72
2014,4,Buenos Aires,8226,132937,2250445,203620,104322,997,5406,0,2705954,4.2,1575978,1070135,120528,17728,32038,2816407,2801178,15229,2816407,56.09,17.01
2014,4,Capital Federal,2698,62896,1038269,123451,95772,890,7997,0,1331972,4.78,455785,840224,17155,1962,15394,1330520,1318526,11994,1330520,114.9,43.6
2014,4,Catamarca,21,8047,14093,2910,421,0,1,0,25493,3.34,25192,241,16,0,44,25493,25472,21,25493,25.51,6.46
2014,4,Chaco,483,12837,42106,7908,2600,124,2,0,66060,3.98,55024,10918,31,0,62,66035,65998,37,66035,21.87,5.81
2014,4,Chubut,1858,6218,60392,70,0,0,0,0,68538,3.17,48539,697,891,12256,6159,68542,66557,1985,68542,40.25,12.22
2014,4,Córdoba,1903,85362,427844,41947,30858,1177,782,0,589873,4.09,345157,240452,419,3918,486,590432,590113,319,590432,54.7,16.66
2014,4,Corrientes,40,13860,42182,7513,2106,0,9,0,65710,3.81,54754,9526,40,1315,75,65710,65656,54,65710,23.56,6.17
2014,4,Entre Ríos,2311,27801,88649,18318,3584,1,66,0,140730,3.8,112291,23027,57,5178,260,140813,140567,246,140813,36.03,10.72
2014,4,Formosa,1947,7830,14058,1852,473,47,1,0,26208,3.02,21245,4896,1,0,65,26207,26156,51,26207,17.96,4.55
2014,4,Jujuy,1880,10427,19740,3443,465,0,0,0,35955,3.13,31349,4583,22,37,11,36002,35999,3,36002,19.6,4.98
2014,4,La Pampa,6266,6879,36520,26,5,4,10,0,49710,2.75,16043,34281,514,5894,648,57380,56813,567,57380,51.27,16.82
2014,4,La Rioja,9,4333,9728,1943,386,0,3,0,16402,3.58,16352,0,17,0,33,16402,16379,23,16402,17.01,4.5
2014,4,Mendoza,303,19,169222,36,14,5,12,0,169611,3.5,151797,13030,2534,31,2222,169614,167766,1848,169614,32.64,9.06
2014,4,Misiones,547,11840,53093,8731,2952,54,12,0,77229,4.03,58435,18613,16,150,15,77229,77222,7,77229,24.16,6.54
2014,4,Neuquén,1731,2744,80938,126,3621,2,66,0,89228,3.85,47721,31778,1014,11853,3030,95396,92999,2397,95396,52.55,15.53
2014,4,Río Negro,3640,4723,85094,94,2319,4,30,0,95904,3.54,66307,23703,901,3819,1530,96260,95050,1210,96260,45.48,13.89
2014,4,Salta,54,16214,63221,12552,1922,0,4,0,93967,3.86,76026,17289,48,6,578,93947,93921,26,93947,29.53,7.1
2014,4,San Juan,11,478,51628,0,0,0,2,0,52119,3.48,48653,451,740,1202,1073,52119,51390,729,52119,28.04,7.1
2014,4,San Luis,9,0,13135,0,0,1,2,0,13147,3.5,11419,926,355,24,423,13147,12788,359,13147,9.79,2.78
2014,4,Santa Cruz,156,1400,24145,1,1,0,0,0,25703,3.33,17553,448,388,4395,2929,25713,25277,436,25713,27.8,8.16
2014,4,Santa Fe,8707,99962,359293,36718,21098,869,824,0,527471,3.78,335267,183009,3205,6282,1634,529397,528459,938,529397,50.0,15.66
2014,4,Santiago Del Estero,1246,8913,24181,4359,602,0,0,0,39301,3.46,34110,4231,19,920,37,39317,39308,9,39317,17.27,4.26
2014,4,Tierra Del Fuego,12,283,31489,2,0,0,0,0,31786,3.47,21948,3664,655,1,2722,28990,28249,741,28990,66.14,19.34
2014,4,Tucumán,17,28746,85091,20631,2733,196,0,0,137414,3.86,137093,97,116,13,105,137424,137329,95,137424,35.32,8.69
2014,3,Buenos Aires,7355,128187,2281524,156693,68947,243,4232,0,2647181,3.97,1562533,1110628,124474,20049,31881,2849565,2835537,14028,2849565,56.75,17.26
2014,3,Capital Federal,840,78016,1060145,102170,70907,95,6626,0,1318799,4.44,450155,833402,17886,1995,14387,1317825,1307195,10630,1317825,113.8,43.21
2014,3,Catamarca,19,8845,13790,1915,111,0,0,0,24680,2.92,24380,244,15,0,47,24686,24665,21,24686,24.71,6.27
2014,3,Chaco,398,14731,41934,5428,1274,5,0,0,63770,3.46,53321,10336,29,1,59,63746,63710,36,63746,21.11,5.63
2014,3,Chubut,2013,6281,60771,34,0,0,0,0,69099,3.17,49219,668,882,11853,6515,69137,67130,2007,69137,40.6,12.39
2014,3,Córdoba,660,98992,435692,28992,18888,84,664,0,583972,3.66,340212,240334,444,4064,377,585431,585231,200,585431,54.23,16.56
2014,3,Corrientes,21,15448,41717,5181,1172,0,0,0,63539,3.41,52957,9184,31,1312,65,63549,63516,33,63549,22.79,5.99
2014,3,Entre Ríos,1709,29710,91450,12569,1310,0,48,0,136796,3.4,108907,22440,48,5203,135,136733,136618,115,136733,34.98,10.43
2014,3,Formosa,2001,8323,14202,1324,85,0,0,0,25935,2.66,21021,4836,0,0,80,25937,25873,64,25937,17.77,4.51
2014,3,Jujuy,127,10979,20216,2305,82,0,0,0,33709,2.93,30128,3541,22,37,13,33741,33739,2,33741,18.37,4.68
2014,3,La Pampa,6458,6645,41009,24,5,4,10,0,54155,2.82,16051,33940,538,11219,677,62425,61861,564,62425,55.78,18.34
2014,3,La Rioja,10,4785,9720,1337,61,0,0,0,15913,3.1,15864,0,14,1,37,15916,15893,23,15916,16.51,4.38
2014,3,Mendoza,35,0,167763,31,12,13,1,0,167855,3.5,150120,13030,2512,40,2222,167924,166184,1740,167924,32.31,8.99
2014,3,Misiones,640,13637,53510,5928,1606,0,1,0,75322,3.58,56933,18373,4,3,14,75327,75327,0,75327,23.57,6.4
2014,3,Neuquén,1522,3099,80090,107,2865,10,27,0,87720,3.74,54458,30964,1000,12858,3087,102367,100099,2268,102367,56.4,16.73
2014,3,Río Negro,3640,5189,86868,87,1944,8,9,0,97745,3.48,65264,26590,888,3533,1505,97780,96629,1151,97780,46.2,14.16
2014,3,Salta,732,17481,66026,8314,388,0,0,0,92941,3.41,73828,18394,43,109,580,92954,92929,25,92954,29.22,7.05
2014,3,San Juan,8,487,51276,0,0,0,0,0,51771,3.47,48272,451,731,1199,1126,51779,51031,748,51779,27.85,7.08
2014,3,San Luis,8,0,13029,0,0,3,0,0,13040,3.5,11303,925,355,25,438,13046,12683,363,13046,9.71,2.77
2014,3,Santa Cruz,195,1624,24248,1,1,0,0,0,26069,3.31,17862,492,385,4273,3098,26110,25664,446,26110,28.23,8.34
2014,3,Santa Fe,8230,112593,357615,23962,12124,38,806,0,515368,3.38,325577,183630,4407,6540,733,520887,520196,691,520887,49.2,15.44
2014,3,Santiago Del Estero,791,9914,23826,2867,142,0,0,0,37540,3.1,32820,3900,19,768,41,37548,37539,9,37548,16.49,4.08
2014,3,Tierra Del Fuego,12,336,32348,2,0,0,0,0,32698,3.47,21840,3469,650,1,2832,28792,28037,755,28792,65.69,19.34
2014,3,Tucumán,6,32716,84668,14101,559,4,0,0,132054,3.35,131739,97,117,13,100,132066,131978,88,132066,33.94,8.38
2014,2,Buenos Aires,6902,162274,2288772,140226,56549,284,4309,0,2659316,3.85,1568881,1025490,120008,17020,33147,2764546,2750430,14116,2764546,55.06,16.79
2014,2,Capital Federal,847,81431,1078213,87359,56004,59,6427,0,1310340,4.25,447637,828411,17729,1883,14555,1310215,1299502,10713,1310215,113.14,42.97
2014,2,Catamarca,19,8844,13794,1915,111,0,0,0,24683,2.92,24380,243,17,0,43,24683,24660,23,24683,24.7,6.28
