Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Otras Velocidades,Total Velocidades,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total Accesos,Banda ancha fija,Dial up,Total dial_BAf,Accesos por cada 100 hogares,Accesos por cada 100 hab,Ingresos (miles de pesos),ADSL (%),Cablemodem (%),Fibra óptica (%),Wireless (%),Otros (%),Ingresos ADSL,Ingresos Cablemodem,Ingresos Fibra óptica,Ingresos Wireless,Ingresos Otros
2020,3,41038,44005,2637984,1040017,799350,538567,4053461,201777,9356199,40.67,2263889,5259351,1170879,413259,248821,9356199,9346183,10016,9356199,66.31,20.59,31997444.53,24.196674311865323,56.212474745353326,12.514473024782822,4.416953936101615,2.6594239818969223,7742317.441043866,17986555.42558469,4004311.5643266966,1413312.385619766,850947.713424985
2020,2,41038,48690,2651502,1053107,807775,523437,3711499,194008,9031056,38.32,2295533,5005115,1106725,376667,247016,9031056,9021040,10016,9031056,64.21,19.92,32102475.99,25.418212443816095,55.42114897748392,12.254657705588361,4.170796859193432,2.7351840139181953,8159875.546863254,17791561.0438789,3934048.5475931885,1338929.0603142455,878061.7913504068
2020,1,42550,56170,2649819,1022014,814470,532309,3500882,194212,8812426,37.52,2299457,4903674,1047817,352333,209145,8812426,8802435,9991,8812426,62.86,19.48,29946216.45,26.093348188115286,55.64499491967365,11.89022182994785,3.9981385375604854,2.3732965247027322,7813970.527465156,16663570.622236975,3560671.565581334,1197291.2204287273,710712.514287808
2019,4,38272,28980,2792307,1046128,851619,1004083,2830746,201046,8793181,28.26,2414575,4883869,941295,340144,213298,8793181,8783053,10128,8793181,62.92,19.49,24169250.7,27.459630365848263,55.541549753155316,10.704829117016924,3.8682701970993203,2.4257205668801767,6636786.904415194,13423976.402505338,2587276.9862984167,934931.9216903188,586278.4850907311
2019,3,241713,80599,3309137,1026859,806466,1141545,2314898,243467,9164684,24.18,2909805,4800091,852221,338241,264326,9164684,9142891,21793,9164684,65.79,20.36,21652748.44,31.75019455117056,52.375957534378706,9.298967645802081,3.690700083057965,2.884180185590687,6874789.755375548,11340834.327960247,2013482.0718625148,799138.0046594122,624504.2801422767
2019,2,202790,95980,3444458,871142,1169632,1250366,1677830,247983,8960181,20.33,2990457,4635575,760794,308027,265328,8960181,8938427,21754,8960181,64.53,19.96,20743117.69,33.374961956683684,51.73528302609065,8.490832941879187,3.4377318940320514,2.9611901813144175,6923007.637667623,10731510.645356577,1761263.469995289,713092.7726457346,614243.164334774
2019,1,166573,195706,3428759,882836,1464748,1244215,1138728,126570,8648135,17.38,3132789,4435439,637099,276419,166389,8648135,8626323,21812,8648135,62.48,19.31,20207413.77,36.22502423933021,51.287809452558264,7.366894711981253,3.196284516835133,1.9239870792951312,7320140.5363242505,10363939.86964762,1488658.8964503014,645886.4375833205,388788.0299945052
2018,4,138740,201196,3337982,882388,1472634,1688748,599579,152388,8473655,15.95,3329027,4313831,388013,264299,178485,8473655,8451841,21814,8473655,61.42,18.97,16637686.59,39.286789466882944,50.90874008913509,4.579051188654719,3.1190672738033354,2.1063519815239116,6536412.902773116,8470036.622947983,761848.1855640417,518940.63754665613,350448.2411682031
2018,3,5675,220589,3401277,859413,1607137,1571692,524777,156475,8347035,15.36,3521447,4238171,247366,246181,93870,8347035,8320223,26812,8347035,60.69,18.73,15410980.69,42.18799849287801,50.77456845454703,2.963519381433048,2.949322723577893,1.1245909475640152,6501584.301234921,7824858.939961073,456707.39961705444,454519.55541637115,173310.49377057838
2018,2,5972,219467,3316868,979416,1905839,1000036,444391,238455,8110444,13.85,3557216,4038141,226285,194267,94535,8110444,8083533,26911,8110444,59.16,18.24,14319467.46,43.859694980940624,49.78939500722772,2.790044540101627,2.395269605461797,1.165595866268234,6280474.750851046,7129576.2165908385,399519.52003935917,342989.85173337243,166907.12078538488
